Function15 called 23 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 17 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 27 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 28 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 6 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 24 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 29 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 7 times Max cycle: 28853288  Min cycle: 16320835
Function21 called 3 times Max cycle: 107736648  Min cycle: 102250958
Function15 called 25 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 18 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 30 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 31 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 8 times Max cycle: 10518661  Min cycle: 5401466
Function9 called 8 times Max cycle: 10289751  Min cycle: 5226918
Function15 called 26 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 19 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 27 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 20 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 28 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 8 times Max cycle: 28853288  Min cycle: 16320835
Function3 called 5 times Max cycle: 52817597  Min cycle: 31119865
Function12 called 4 times Max cycle: 97888554  Min cycle: 95776236
Function6 called 32 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 33 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 7 times Max cycle: 15277584  Min cycle: 8574969
Function18 called 4 times Max cycle: 107595414  Min cycle: 99762360
Function15 called 29 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 21 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 34 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 35 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 9 times Max cycle: 10518661  Min cycle: 5401466
Function9 called 9 times Max cycle: 10289751  Min cycle: 5226918
Function15 called 30 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 22 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 36 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 37 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 8 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 31 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 38 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 9 times Max cycle: 28853288  Min cycle: 16320835
Function21 called 4 times Max cycle: 107736648  Min cycle: 102250958
Function15 called 32 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 23 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 39 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 40 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 10 times Max cycle: 10518661  Min cycle: 5401466
Function9 called 10 times Max cycle: 10289751  Min cycle: 5226918
Function15 called 33 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 24 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 34 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 25 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 35 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 10 times Max cycle: 28853288  Min cycle: 16320835
